Nom Centreon,CRITCAL,CRITICAL,CRITICAL1,CRITICAL15,CRITICAL5,DISK,WARNING,WARNING1,WARNING15,WARNING5
EENVD-EWM01,,150,,,,,95,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,free<=100M,,,,C:,free<=999M,,,
EENVD-EWM01,,none,,,,D:,free<= 10%,,,
EENVD-EWM01,,none,,,,I:,free<=10%,,,
EENVD-EWM01,,none,,,,K:,free<=10%,,,
EENVD-EWM01,,none,,,,T:,free<=10%,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
EENVD-EWM01,,,,,,,,,,
cieyy1py,,,,,,,,,,
cieyy1py,,99,,,,/,85,,,
cieyy1py,99,99,,,,/appli/ice,90,,,
cieyy1py,99,99,,,,/appli/projects/ice,90,,,
cieyy1py,,99,,,,/boot,95,,,
cieyy1py,,99,,,,/home,95,,,
cieyy1py,99,99,,,,/home/data/ice,90,,,
cieyy1py,99,99,,,,/home/ftpmco,90,,,
cieyy1py,99,99,,,,/log/ice,90,,,
cieyy1py,,99,,,,/logiciels,95,,,
cieyy1py,,99,,,,/sauveappli,95,,,
cieyy1py,,99,,,,/tmp,90,,,
cieyy1py,99,99,,,,/tmp/ice,90,,,
cieyy1py,,99,,,,/var,90,,,
cieyy1py,,99,,,,/var/log/audit,90,,,
cieyy1py,99,99,,,,/var/projects/ice,90,,,
cieyy1py,,99,,,,,95,,,
cieyy1py,,,,,,,,,,
cieyy1py,,,,,,,,,,
cieyy1py,,,,,,,,,,
cieyy1py,,,,,,,,,,
cieyy1py,,1:,,,,,1:,,,
cieyy1py,,1:,,,,,1:,,,
cieyy1py,,1:,,,,,:,,,
cieyy1py,,1:,,,,,:,,,
cieyy1py,,1:,,,,,1:,,,
cieyy1py,,1:,,,,,1:,,,
cieyy1py,,1:,,,,,1:,,,
cieyy1py,,150,,,,,80,,,
cieyy1py,,,,,,,,,,
cieyy1pz,,,99,30,30,,,99,30,30
cieyy1pz,,150,,,,,95,,,
cieyy1pz,,,,,,,,,,
